,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
121,Dante Antonio Lima,@dantelima24,2021-09-02T20:19:40.000Z,#EliminatoriasSudamericanas Así forman #Ecuador y #Paraguay.,,,,,,"['https://pbs.twimg.com/media/E-TnbjiVcAMDNsS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Tnb-5VIAYi6LZ?format=jpg&name=360x360']",https://twitter.com/dantelima24/status/1433525051932958720
122,Ani || GANÓ ECUADOR,@ani_aldas28,2021-09-02T23:10:34.000Z,HOY SE CHUPA PORQIE ECUADOR GANÓ,,💛 💙 ❤,1,4,8,['https://pbs.twimg.com/media/E-UOjRvVcAAuzPH?format=jpg&name=small'],https://twitter.com/ani_aldas28/status/1433568061341249540
123,Andrés Morales,@AndresMorales_C,2021-09-02T20:23:51.000Z,"#Ecuador y #Paraguay en cancha para el duelo de las 16:00. 

Entrada en calor..",,,,,,"['https://pbs.twimg.com/media/E-ToYnkUUAIimcC?format=jpg&name=small', 'https://pbs.twimg.com/media/E-ToZMjVkAEehem?format=jpg&name=small']",https://twitter.com/AndresMorales_C/status/1433526104095027204
124,HAT TRICK TV,@HAT_TRICK_TV,2021-09-02T23:21:37.000Z,"¡PASO A PASO MUCHACHOS!

Ecuador se queda con los 3 puntos en casa.

#SiSePuede #Eliminatorias #Qatar2022 #CONMEBOL",,🔥 ⚽,,,,['https://pbs.twimg.com/media/E-URFTjXsAksDFu?format=jpg&name=small'],https://twitter.com/HAT_TRICK_TV/status/1433570842164801537
125,El último espartano,@espartan_300,2021-09-02T21:16:31.000Z,"VAMOS ECUADOR CARAJO!!! 

Por gusto 

#LaTri #EliminatoriasQatar2022  #EcuadorVsParaguay",,😒,,,,['https://pbs.twimg.com/media/E-T0cSuVUAIyWU9?format=jpg&name=small'],https://twitter.com/espartan_300/status/1433539356069933056
126,Adolfokastro,@adolfocastrob,2021-09-02T23:06:28.000Z,"Gool de Estrada , #Ecuador  2 & #Paraguay 0 #EliminatoriasSudamericanas","0:33
51 views",,,,,[],https://twitter.com/adolfocastrob/status/1433567027789185029
127,CorazonyPasesCortos,@CorazonyPases,2021-09-02T20:30:01.000Z,#EliminatoriasQatar2022 | Formaciones de #Ecuador y #Paraguay.,,,,1,,"['https://pbs.twimg.com/media/E-Tpp8qVEAAKDv1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TptMZUYAA5fFW?format=jpg&name=360x360']",https://twitter.com/CorazonyPases/status/1433527656788606976
128,Anthony Arce,@AnthonyArkien17,2021-09-02T22:14:52.000Z,"#Ecuador salió más enchufado, con más chispa, con ganas.
Cambios ChiquiXPervis y PlatitaxRojas.
#EliminatoriasQatar2022",,,,,,[],https://twitter.com/AnthonyArkien17/status/1433554041691332610
129,A N T H O N Y,@BscThony,2021-09-02T22:06:23.000Z,"Todo el Ecuador lo pide 
@LaTri
 #GPlata
#EliminatoriasSudamericanas #EliminatoriasQatar2022",,,,,,['https://pbs.twimg.com/media/E-T_3LEVcA06DTA?format=jpg&name=small'],https://twitter.com/BscThony/status/1433551907495157760
130,𝙳𝚊𝙻𝚎𝚡𝚁,@romerod88,2021-09-02T23:03:46.000Z,"No sé ustedes pero yo me quedo con esta imagen. 

Grande mi #Ecuador 
#EliminatoriasQatar2022 ",,,,,1,['https://pbs.twimg.com/media/E-UM_VKUcAE_g4X?format=jpg&name=small'],https://twitter.com/romerod88/status/1433566347083108353
